"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_posroot","AFIR_thy","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"90",0.559319,2.59637e-05,117.286,0.522031,52.2031,0.01,8822.94,0.203548,0.205067,4.53958e-08,0.20441,3.65422,261.016,2.59637e-05,0.522009,44.795,0.00999089,8771.36,0.176088,314.9,4.57191e-06,3.65422,261.016,"ksynT","VEGFR1"
"91",2.14286,9.80307e-05,119.01,2,200,0.01,8822.94,0.203548,0.208082,1.714e-07,0.20441,14,1000,9.80307e-05,1.99992,171.238,0.00996465,8611.95,0.181087,314.9,1.77521e-05,14,1000,"ksynT","VEGFR1"
"92",0.00214286,9.9989e-08,116.679,0.002,2000,0.01,8822.94,2031.55,2036.11,1.74486e-06,2040.14,7e-06,1e-04,9.99892e-08,0.00199991,1.24121,0.00999975,8827.83,1.25762,314.9,1.25749e-07,7e-06,1e-04,"keDT","VEGFR1"
"93",0.00214286,9.9989e-08,116.679,0.002,522.031,0.01,8822.94,530.267,531.457,4.55435e-07,532.508,2.68183e-05,0.000383119,9.99892e-08,0.00199991,1.23923,0.00999975,8827.83,1.25561,314.9,1.25548e-07,2.68183e-05,0.000383119,"keDT","VEGFR1"
"94",0.00214286,9.9989e-08,116.679,0.002,136.258,0.01,8822.94,138.408,138.719,1.18876e-07,138.993,0.000102746,0.0014678,9.99892e-08,0.00199991,1.23167,0.00999975,8827.83,1.24796,314.9,1.24782e-07,0.000102746,0.0014678,"keDT","VEGFR1"
"95",0.00214286,9.9989e-08,116.679,0.002,35.5656,0.01,8822.94,36.1271,36.2081,3.10287e-08,36.2797,0.000393639,0.00562341,9.99892e-08,0.00199991,1.20343,0.00999976,8827.82,1.21937,314.9,1.21924e-07,0.000393639,0.00562341,"keDT","VEGFR1"
"96",0.00214286,9.9989e-08,116.679,0.002,9.28318,0.01,8822.94,9.43002,9.45119,8.09924e-09,9.46987,0.0015081,0.0215443,9.99892e-08,0.00199991,1.10511,0.00999978,8827.8,1.11979,314.9,1.11967e-07,0.0015081,0.0215443,"keDT","VEGFR1"
"97",0.00214286,9.9989e-08,116.679,0.002,2.42306,0.01,8822.94,2.46167,2.4672,2.11428e-09,2.47208,0.00577783,0.0825404,9.99892e-08,0.00199991,0.83446,0.00999983,8827.74,0.845675,314.9,8.45584e-08,0.00577783,0.0825404,"keDT","VEGFR1"
"98",0.00214286,9.9989e-08,116.679,0.002,0.632456,0.01,8822.94,0.642826,0.64427,5.5211e-10,0.645545,0.0221359,0.316228,9.99892e-08,0.00199991,0.421936,0.00999991,8827.66,0.427804,314.9,4.27758e-08,0.0221359,0.316228,"keDT","VEGFR1"
"99",0.00214286,9.9989e-08,116.679,0.002,0.165081,0.01,8822.94,0.168078,0.168457,1.4436e-10,0.16879,0.0848069,1.21153,9.99892e-08,0.00199991,0.14515,0.00999997,8827.6,0.147412,314.9,1.47396e-08,0.0848069,1.21153,"keDT","VEGFR1"
